trial_number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
20,7,6,4,6,4,4,4,4,4,4,4,6,7,7,7,6,6,6,6,6,6,4,6,6,6,7,4,4,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4
21,4,6,5,4,4,4,4,4,4,4,4,6,7,7,7,6,6,6,6,6,6,4,5,7,6,7,6,4,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,7
22,7,6,4,6,4,4,4,4,4,4,4,6,7,7,7,6,6,6,6,6,6,4,6,7,6,6,6,4,6,6,6,6,6,4,4,4,6,4,4,4,4,4,4,4
23,4,4,4,6,4,4,4,4,4,4,4,6,7,7,7,4,6,6,6,6,6,4,6,6,6,7,6,4,6,6,6,7,6,4,4,4,6,4,4,4,4,4,4,4
24,4,6,4,6,4,4,4,4,4,4,4,6,7,7,7,4,6,6,6,6,6,4,6,7,6,7,6,4,6,6,6,6,6,4,5,4,4,4,4,4,4,4,4,4
25,4,6,4,6,4,4,4,5,4,4,4,7,7,6,6,4,6,6,6,6,6,4,6,7,6,7,6,4,6,6,6,6,6,4,4,4,6,4,4,4,4,4,4,4
26,4,6,4,6,4,4,4,4,4,4,4,6,7,7,7,6,6,6,6,6,6,4,6,7,6,7,6,4,6,6,6,6,6,4,4,4,7,4,4,4,4,4,4,4
27,4,6,4,6,4,4,4,4,4,4,4,6,7,7,7,6,6,6,6,6,6,4,6,6,6,7,6,4,6,6,4,6,4,4,6,7,4,4,4,4,4,4,4,4
28,4,6,4,6,4,4,4,4,5,4,4,6,7,7,7,6,6,6,6,6,6,4,5,7,6,7,6,6,6,6,5,6,6,4,4,4,6,4,4,4,4,4,4,4
29,4,6,4,6,4,4,4,4,4,4,4,6,7,7,7,4,6,6,6,7,6,4,6,7,6,7,6,5,6,6,6,6,6,4,4,4,5,4,4,4,4,4,4,4
30,4,6,4,6,4,4,4,4,4,4,4,6,7,7,7,6,6,6,6,6,6,4,6,7,6,7,6,5,6,6,6,6,6,4,4,4,4,4,4,4,4,4,5,4
31,4,6,4,6,4,4,4,4,4,4,4,6,7,7,6,6,6,6,6,6,7,4,6,7,6,7,5,4,6,6,6,6,6,4,4,4,6,4,4,4,4,4,4,5
32,4,6,4,4,4,4,4,4,4,4,5,7,7,7,7,6,6,6,6,6,6,4,6,7,6,7,6,6,6,6,6,6,4,4,4,4,6,4,4,4,4,4,4,4
33,4,6,4,6,4,4,4,4,4,4,4,6,7,7,7,6,6,6,6,6,6,4,6,7,6,7,6,4,4,6,6,6,6,4,4,4,4,4,4,4,4,7,4,4
34,4,6,4,4,4,7,4,4,4,4,4,4,7,7,7,4,6,6,6,6,6,4,6,7,6,7,6,4,6,6,6,6,6,4,4,4,6,4,4,4,4,4,4,4
35,4,6,4,6,4,4,4,4,4,4,4,6,7,7,7,6,6,6,6,6,6,4,6,6,6,7,6,5,6,5,6,6,6,4,4,4,6,4,4,4,4,4,4,4
36,4,6,4,4,4,4,4,4,4,4,4,6,7,7,7,5,6,6,6,6,6,4,6,6,6,6,6,4,6,7,6,6,6,4,4,4,4,4,6,4,4,4,4,4
37,4,6,4,6,4,4,4,4,4,4,4,4,7,6,7,6,6,7,6,6,4,4,6,7,6,7,6,4,6,6,6,6,6,4,4,4,6,4,4,4,4,4,4,4
38,4,6,4,6,4,4,4,4,4,4,4,6,7,7,7,6,6,6,6,6,6,4,6,7,6,7,5,4,6,6,6,6,6,4,4,7,6,4,4,5,4,4,4,4
39,4,7,4,6,4,4,4,4,4,4,4,6,7,7,7,6,6,6,6,6,6,4,6,6,6,7,4,4,6,6,6,6,6,4,4,4,6,4,4,4,4,4,4,4
40,4,6,4,6,4,4,4,4,4,4,4,6,7,7,7,4,6,6,6,6,6,4,6,7,6,7,6,6,6,6,6,7,6,4,4,4,4,4,4,4,4,5,4,4
41,7,6,4,6,5,4,4,4,4,4,4,6,7,7,7,6,6,6,6,6,6,4,6,7,6,7,6,4,6,6,6,7,6,4,4,4,4,4,4,4,4,4,4,4
42,4,6,5,6,4,4,4,4,4,4,4,7,7,7,6,4,6,6,5,6,6,4,6,7,6,7,6,4,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4
43,4,6,4,6,4,4,4,6,4,4,4,6,7,7,7,4,6,6,6,6,7,4,6,6,6,7,6,4,6,6,6,6,6,4,4,4,4,4,4,4,4,4,4,4
44,4,6,4,6,4,7,4,4,4,4,4,6,7,7,7,4,6,6,6,6,6,4,6,7,6,7,6,4,6,6,6,6,4,4,4,4,6,4,4,4,4,4,4,4
45,4,6,4,6,4,4,4,4,4,4,4,6,7,7,7,6,6,6,6,6,6,4,6,6,6,7,6,4,6,6,6,6,6,4,4,4,4,4,4,4,4,5,4,4
46,4,7,4,6,4,4,4,6,4,4,4,6,7,7,6,6,6,6,6,6,6,4,6,6,6,7,6,4,7,6,6,4,6,4,4,4,6,4,4,4,4,5,4,4
47,5,6,4,6,4,4,4,4,4,4,4,4,7,7,7,4,6,6,5,6,6,4,6,7,6,7,6,6,6,6,6,6,6,4,4,4,6,4,7,4,4,4,4,4
48,6,6,4,6,4,4,4,4,4,4,4,6,7,7,7,4,6,6,6,6,6,4,6,6,6,7,6,4,6,6,6,6,6,4,4,4,6,4,4,4,4,4,4,4
49,4,6,4,6,4,4,4,4,4,4,4,6,7,7,7,4,6,6,6,7,6,4,6,7,6,6,6,4,6,6,6,6,6,4,4,4,7,4,4,4,4,5,4,4
50,4,6,4,7,4,4,4,4,4,4,4,6,7,7,7,4,6,6,6,4,6,4,5,7,6,7,6,4,6,6,6,6,6,4,6,4,6,4,4,5,4,4,4,4
