trial_number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,4,3,4,4,3,3,4,3,1
29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,3,3,3,4,4,4,3,4,3,1
30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,3,3,3,4,4,4,3,3,3,1
31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,3,3,3,4,4,4,3,3,3,3
32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,3,3,3,4,4,4,3,3,3,1
33,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,3,3,3,4,4,4,3,3,3,1
34,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,3,3,3,4,4,4,3,3,3,1
35,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,3,4,3,4,4,4,3,3,3,2
36,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,3,3,3,4,4,4,4,3,3,3
37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,3,3,3,4,4,4,3,3,3,1
38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,3,3,3,4,4,3,3,4,3,3
39,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,3,3,3,4,4,3,3,3,3,1
40,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,3,3,3,4,4,4,3,3,3,2
41,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,3,3,3,4,4,3,3,3,3,1
42,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,3,3,3,4,4,4,3,3,3,1
43,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,3,3,3,4,4,3,3,3,3,1
44,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,3,3,3,4,4,3,3,3,3,1
45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,3,3,3,4,4,3,3,3,3,1
46,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,3,3,3,4,4,3,3,4,3,1
47,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,3,3,3,4,4,4,3,3,3,1
48,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,3,3,3,4,4,3,3,3,3,1
49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,3,3,3,4,4,3,3,4,3,1
50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,3,3,3,4,4,3,4,3,3,1
