trial_number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
38,2,1,2,2,2,6,2,2,2,2,6,6,7,7,7,5,5,7,6,7,6,2,6,7,6,7,5,5,6,6,6,6,2,5,2,2,2,5,6,2,5,3,2,6
39,2,2,2,1,5,5,1,2,5,2,5,6,7,7,7,5,2,7,6,7,7,5,6,7,6,7,6,3,6,6,5,6,2,5,2,2,1,5,6,2,2,5,2,6
40,2,1,2,2,4,5,2,3,5,2,5,6,7,7,7,6,2,7,6,7,7,5,6,7,6,7,6,2,6,6,5,6,2,2,2,2,1,5,5,2,5,3,2,6
41,2,1,2,2,2,5,2,2,5,2,6,6,7,7,7,5,2,6,6,6,7,5,5,6,6,7,6,5,6,6,6,6,3,5,2,2,1,5,6,2,5,2,2,6
42,2,2,2,1,2,6,2,5,5,2,6,6,7,7,7,6,5,7,6,6,6,2,6,7,6,7,6,2,6,6,5,6,2,5,1,2,1,5,6,2,6,2,2,6
43,2,2,1,1,2,6,2,2,5,2,6,6,7,7,7,6,2,7,6,7,7,5,5,7,6,7,5,2,6,6,5,6,3,5,2,2,2,5,6,2,5,2,2,6
44,5,1,2,2,2,5,2,5,5,2,5,6,7,7,7,5,2,7,6,7,7,5,5,7,6,7,5,2,6,6,5,6,2,5,2,2,2,5,6,2,5,2,3,6
45,6,2,2,2,2,5,2,2,6,2,5,6,7,7,7,6,2,7,6,7,6,2,5,7,6,7,6,2,6,6,5,7,3,5,2,2,2,5,6,2,3,5,2,6
46,2,2,2,2,2,6,2,2,5,2,6,6,7,7,7,6,2,7,6,7,7,2,5,7,6,7,5,2,6,6,6,6,5,5,2,2,1,5,6,2,2,2,2,6
47,2,2,2,2,2,5,2,2,3,2,6,6,7,7,7,6,2,7,6,6,6,5,5,7,7,7,5,2,6,6,5,6,2,5,2,2,2,5,6,2,5,2,5,6
48,5,1,2,1,2,5,2,2,2,2,5,6,7,7,7,6,5,7,6,6,7,2,5,7,6,7,5,2,6,6,5,6,5,6,2,2,2,5,5,2,5,2,2,6
49,2,1,2,1,2,5,2,2,5,2,6,6,7,7,7,5,2,6,6,6,7,2,6,7,6,7,5,2,6,6,5,6,3,2,2,2,1,5,6,2,5,2,5,6
50,5,1,1,1,2,6,2,2,5,2,5,6,7,7,7,5,2,7,6,6,6,2,5,7,6,7,6,2,6,6,5,6,2,2,2,2,1,5,6,2,5,2,2,6
