trial_number,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
24,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,4,3,4,4,4,4,4,4,4,1
25,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,4,3,4,4,4,4,3,4,4,2
26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,4,3,4,4,4,4,4,4,4,2
27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,4,3,4,4,4,4,3,4,4,1
28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,4,3,4,4,4,4,4,4,4,3
29,1,1,1,1,1,3,1,1,1,1,1,1,1,1,2,3,1,1,4,3,4,4,4,4,3,4,4,1
30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,4,3,4,4,4,4,4,4,4,3
31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,4,3,4,4,4,4,4,4,4,3
32,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,4,3,4,4,4,4,4,4,4,2
33,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,3,1,1,4,3,4,4,4,4,4,4,4,2
34,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,4,3,3,4,4,4,3,4,4,2
35,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,3,3,4,4,4,4,4,4,4,3
36,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,4,3,4,4,4,4,4,4,4,2
37,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,4,3,3,4,4,4,4,4,4,3
38,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,4,3,3,4,4,4,4,4,4,2
39,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,4,3,4,4,4,4,3,4,4,2
40,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,4,3,4,4,4,4,4,4,4,2
41,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,3,3,4,4,4,4,3,4,4,2
42,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,4,3,4,4,4,4,4,4,4,2
43,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,3,3,4,4,4,4,4,4,4,3
44,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,3,3,4,4,4,4,4,4,4,2
45,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,4,3,3,4,4,4,4,4,4,2
46,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,4,3,4,4,4,4,3,4,4,2
47,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,4,3,4,4,4,4,4,4,4,2
48,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,4,3,4,4,4,4,4,4,4,1
49,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,4,3,4,4,4,4,3,4,4,2
50,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,1,3,3,4,4,4,4,4,4,4,3
